kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_80.ptx 139 : 21528 72700 0 0 0 7410 5460 0 0 
gaussian.1.sm_80.ptx 138 : 21528 193752 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 137 : 21528 4206965 0 0 0 7410 5460 0 0 
gaussian.1.sm_80.ptx 136 : 21528 193752 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 135 : 21528 193836 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 134 : 21528 193772 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 133 : 21528 683329 0 0 0 21528 5460 0 0 
gaussian.1.sm_80.ptx 132 : 21528 4637526 0 0 0 5460 5460 0 0 
gaussian.1.sm_80.ptx 131 : 21528 194108 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 130 : 21528 194144 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 129 : 21528 193900 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 60 : 21528 720771 0 0 0 21528 777 0 0 
gaussian.1.sm_80.ptx 59 : 21528 193752 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 58 : 21528 947232 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 57 : 21528 5957420 0 0 0 21528 777 0 0 
gaussian.1.sm_80.ptx 56 : 21528 4121258 0 0 0 777 777 0 0 
gaussian.1.sm_80.ptx 55 : 21528 193752 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 54 : 21528 129168 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 53 : 21528 193784 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 52 : 21528 129264 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 51 : 21528 196609 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 50 : 21528 194264 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 49 : 21528 129464 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 128 : 21528 129636 0 0 0 0 0 0 0 
