kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_80.ptx 139 : 120 384 0 0 0 42 36 0 0 
gaussian.1.sm_80.ptx 138 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 137 : 120 15604 0 0 0 42 36 0 0 
gaussian.1.sm_80.ptx 136 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 135 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 134 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 133 : 120 3080 0 0 0 120 36 0 0 
gaussian.1.sm_80.ptx 132 : 120 23042 0 0 0 36 36 0 0 
gaussian.1.sm_80.ptx 131 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 142 : 3840 19200 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 130 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 60 : 120 1480 0 0 0 120 15 0 0 
gaussian.1.sm_80.ptx 59 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 58 : 120 5280 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 57 : 120 24160 0 0 0 120 15 0 0 
gaussian.1.sm_80.ptx 56 : 120 23040 0 0 0 15 15 0 0 
gaussian.1.sm_80.ptx 55 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 54 : 120 720 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 53 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 52 : 120 720 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 51 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 50 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 129 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 49 : 120 720 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 128 : 120 720 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 48 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 84 : 3840 7680 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 47 : 120 720 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 126 : 1360 6200 0 0 0 0 0 0 36 
gaussian.1.sm_80.ptx 83 : 3840 7680 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 46 : 120 720 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 125 : 1360 8160 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 82 : 3840 7680 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 45 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 124 : 1360 8800 0 0 0 446 110 0 0 
gaussian.1.sm_80.ptx 44 : 120 1080 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 123 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 33 : 7680 42496 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 112 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 32 : 7680 127328 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 111 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 31 : 7680 122048 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 110 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 30 : 7680 120608 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 109 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 28 : 7680 86432 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 107 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 29 : 7680 96800 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 108 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 63 : 7680 38944 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 34 : 7680 41536 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 113 : 1360 13600 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 35 : 7680 104032 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 114 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 36 : 7680 96384 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 115 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 37 : 7680 86272 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 116 : 1360 270260 0 0 0 129 110 0 0 
gaussian.1.sm_80.ptx 38 : 7680 46912 0 0 0 0 0 0 0 
